Strike price,09:23,09:29,09:40
22400,-1,0,0
22450,0,2,2
22500,-1,0,0
22550,-22,-13,-9
22600,1,1,2
22650,2,2,2
22700,0,1,1
22750,0,0,1
22800,1,1,1
22850,2,2,2
22900,2,2,3
22950,2,2,-1
23000,1,1,1
23050,4,4,4
23100,2,2,1
23150,-1,-2,-4
23200,2,2,1
23250,6,6,5
23300,3,2,1
23350,12,13,9
23400,2,2,0
23450,6,1,-3
23500,0,0,-1
23550,1,-5,-8
23600,0,-1,-2
23650,-2,-3,-4
23700,-1,-2,-2
23750,-3,-3,-4
23800,-1,-2,-2
23850,-4,-4,-5
23900,0,-1,-2
23950,-1,-1,-2
24000,0,0,0
24050,1,-4,-8
24100,1,1,1
24150,0,-1,-2
24200,0,0,-1
24250,0,0,-1
24300,0,0,0
24350,-1,-2,-4
